,state_name,county,city,hour_of_crash,day_of_crash,month_of_crash,light_condition_name,atmospheric_conditions_1_name,number_of_fatalities,number_of_drunk_drivers,timestamp_of_crash
0,Iowa,163,790,0,29,4,Dark – Not Lighted,Clear,1,0,2015-04-29 00:17:00+00:00
1,Iowa,181,0,0,1,11,Dark – Not Lighted,Clear,1,1,2015-11-01 00:30:00+00:00
2,Iowa,49,0,0,28,2,Dark – Not Lighted,Clear,1,1,2015-02-28 00:05:00+00:00
3,Iowa,21,0,0,3,5,Dark – Not Lighted,Cloudy,1,1,2015-05-03 00:05:00+00:00
4,Iowa,163,0,0,10,5,Dark – Not Lighted,Clear,1,1,2015-05-10 00:43:00+00:00
5,Iowa,47,0,0,16,5,Dark – Not Lighted,Clear,1,0,2015-05-16 00:19:00+00:00
6,Iowa,153,2260,0,1,11,Dark – Lighted,Clear,1,0,2015-11-01 00:00:00+00:00
7,Iowa,13,8790,0,29,6,Dark – Lighted,Clear,1,1,2015-06-29 00:22:00+00:00
8,Iowa,49,0,1,14,11,Dark – Lighted,Clear,1,1,2015-11-14 01:36:00+00:00
9,Iowa,95,0,1,3,5,Dark – Not Lighted,Cloudy,1,1,2015-05-03 01:00:00+00:00
10,Iowa,193,0,1,1,1,Dark – Not Lighted,Clear,1,1,2015-01-01 01:45:00+00:00
11,Iowa,51,0,1,24,1,Dark – Not Lighted,Clear,1,1,2015-01-24 01:19:00+00:00
12,Iowa,193,7850,1,3,1,Dark – Lighted,Clear,1,1,2015-01-03 01:00:00+00:00
13,Iowa,155,1900,2,14,9,Dark – Lighted,Clear,1,0,2015-09-14 02:06:00+00:00
14,Iowa,163,2080,2,6,7,Dark – Not Lighted,Clear,2,1,2015-07-06 02:09:00+00:00
15,Iowa,137,0,2,22,3,Dark – Not Lighted,Clear,1,1,2015-03-22 02:09:00+00:00
16,Iowa,135,0,2,14,2,Dark – Not Lighted,Clear,1,1,2015-02-14 02:30:00+00:00
17,Iowa,63,0,2,15,8,Dark – Not Lighted,Clear,1,1,2015-08-15 02:00:00+00:00
18,Iowa,121,0,2,29,6,Dark – Not Lighted,Clear,1,1,2015-06-29 02:00:00+00:00
19,Iowa,163,0,2,5,12,Dark – Not Lighted,Clear,1,1,2015-12-05 02:02:00+00:00
20,Iowa,191,0,2,11,10,Dark – Not Lighted,Clear,1,1,2015-10-11 02:30:00+00:00
21,Iowa,43,0,2,29,3,Dark – Not Lighted,Cloudy,1,1,2015-03-29 02:34:00+00:00
22,Iowa,49,9997,2,23,8,Dark – Not Lighted,Cloudy,1,1,2015-08-23 02:11:00+00:00
23,Iowa,153,2260,2,21,2,Dark – Lighted,Clear,1,0,2015-02-21 02:04:00+00:00
24,Iowa,163,2080,2,5,10,Dark – Lighted,Clear,1,1,2015-10-05 02:29:00+00:00
25,Iowa,155,1900,2,14,8,Dark – Lighted,Clear,1,1,2015-08-14 02:37:00+00:00
26,Iowa,141,0,3,4,4,Dark – Not Lighted,Clear,1,1,2015-04-04 03:50:00+00:00
27,Iowa,7,0,3,19,12,Dark – Not Lighted,Clear,1,1,2015-12-19 03:18:00+00:00
28,Iowa,175,0,3,7,10,Dark – Not Lighted,Clear,1,0,2015-10-07 03:35:00+00:00
29,Iowa,111,3030,3,19,9,Dark – Lighted,Cloudy,1,1,2015-09-19 03:32:00+00:00
30,Iowa,31,0,4,26,7,Dark – Not Lighted,Cloudy,2,1,2015-07-26 04:35:00+00:00
31,Iowa,103,0,4,15,7,Dark – Not Lighted,Clear,1,1,2015-07-15 04:38:00+00:00
32,Iowa,93,0,4,18,12,Dark – Not Lighted,Clear,1,1,2015-12-18 04:00:00+00:00
33,Iowa,121,0,4,21,2,Dark – Not Lighted,Clear,1,1,2015-02-21 04:22:00+00:00
34,Iowa,121,0,4,31,10,Dark – Not Lighted,Rain,1,0,2015-10-31 04:49:00+00:00
35,Iowa,153,0,4,19,7,Dark – Not Lighted,Cloudy,1,0,2015-07-19 04:22:00+00:00
36,Iowa,153,2260,4,18,6,Dark – Lighted,Cloudy,1,1,2015-06-18 04:37:00+00:00
37,Iowa,49,0,5,16,3,Dark – Not Lighted,Clear,1,0,2015-03-16 05:36:00+00:00
38,Iowa,13,1330,5,29,10,Dark – Lighted,Cloudy,1,0,2015-10-29 05:32:00+00:00
39,Iowa,111,0,5,16,7,Dawn,Cloudy,1,0,2015-07-16 05:46:00+00:00
40,Iowa,181,0,5,9,5,Dawn,Cloudy,1,1,2015-05-09 05:41:00+00:00
41,Iowa,113,0,5,20,1,Dark – Not Lighted,Cloudy,1,0,2015-01-20 05:25:00+00:00
42,Iowa,183,0,5,17,6,Dark – Not Lighted,Rain,1,0,2015-06-17 05:09:00+00:00
43,Iowa,13,0,5,2,12,Dark – Not Lighted,Snow,1,0,2015-12-02 05:32:00+00:00
44,Iowa,87,0,5,4,6,Dawn,"Fog, Smog, Smoke",1,0,2015-06-04 05:56:00+00:00
45,Iowa,115,0,5,12,4,Dark – Not Lighted,Clear,1,1,2015-04-12 05:01:00+00:00
46,Iowa,163,2080,5,18,9,Dark – Lighted,Clear,1,0,2015-09-18 05:17:00+00:00
47,Iowa,155,0,6,15,1,Dark – Not Lighted,Clear,1,0,2015-01-15 06:55:00+00:00
48,Iowa,183,0,6,8,7,Daylight,Cloudy,1,0,2015-07-08 06:02:00+00:00
49,Iowa,29,0,6,24,9,Not Reported,Cloudy,1,0,2015-09-24 06:39:00+00:00
50,Iowa,13,0,6,16,9,Dawn,Clear,2,0,2015-09-16 06:15:00+00:00
51,Iowa,169,0,6,14,8,Daylight,Clear,1,0,2015-08-14 06:09:00+00:00
52,Iowa,157,0,6,20,5,Daylight,Cloudy,1,0,2015-05-20 06:25:00+00:00
53,Iowa,169,0,6,10,12,Dawn,Cloudy,1,0,2015-12-10 06:49:00+00:00
54,Iowa,193,7850,6,18,8,Dawn,Cloudy,1,0,2015-08-18 06:55:00+00:00
55,Iowa,155,1900,6,8,9,Dark – Lighted,Rain,1,0,2015-09-08 06:05:00+00:00
56,Iowa,133,0,7,30,7,Daylight,Cloudy,1,0,2015-07-30 07:54:00+00:00
57,Iowa,29,0,7,16,5,Daylight,Cloudy,1,1,2015-05-16 07:05:00+00:00
58,Iowa,131,0,7,29,7,Daylight,Clear,1,0,2015-07-29 07:23:00+00:00
59,Iowa,111,4250,7,3,9,Daylight,Clear,1,0,2015-09-03 07:17:00+00:00
60,Iowa,109,0,7,22,4,Daylight,Clear,1,0,2015-04-22 07:46:00+00:00
61,Iowa,111,0,7,23,8,Unknown,Unknown,1,1,2015-08-23 07:15:00+00:00
62,Iowa,107,0,7,3,1,Daylight,"Fog, Smog, Smoke",1,0,2015-01-03 07:46:00+00:00
63,Iowa,181,0,7,31,8,Daylight,Clear,1,0,2015-08-31 07:12:00+00:00
64,Iowa,61,0,7,17,4,Daylight,Clear,1,0,2015-04-17 07:05:00+00:00
65,Iowa,143,0,7,15,12,Dawn,Cloudy,1,0,2015-12-15 07:11:00+00:00
