,state_name,county,city,hour_of_crash,day_of_crash,month_of_crash,light_condition_name,atmospheric_conditions_1_name,number_of_fatalities,number_of_drunk_drivers,timestamp_of_crash,national_highway_system,latitude,longitude
0,Colorado,63,0,7,4,2,Daylight,Snow,1,0,2015-02-04 07:35:00+00:00,1,39.29463056,-102.53277778
1,Virginia,740,1970,2,8,2,Dark – Lighted,Clear,1,0,2015-02-08 02:40:00+00:00,1,36.81472222,-76.34784167
2,Virginia,710,1760,6,15,4,Daylight,Clear,1,0,2015-04-15 06:45:00+00:00,1,36.83286667,-76.19591111
3,Virginia,710,1760,5,2,4,Dark – Lighted,Clear,1,1,2015-04-02 05:51:00+00:00,1,36.91277778,-76.26305556
4,Wyoming,21,0,8,4,1,Daylight,Blowing Snow,1,0,2015-01-04 08:32:00+00:00,1,41.4718,-104.8931
5,Nevada,3,0,21,22,2,Dark – Lighted,Rain,1,0,2015-02-22 21:09:00+00:00,1,36.06600556,-115.18363611
6,Virginia,650,1180,8,19,10,Daylight,Clear,1,0,2015-10-19 08:50:00+00:00,1,37.06599167,-76.42815833
7,Virginia,117,0,22,27,9,Dark – Not Lighted,Clear,1,0,2015-09-27 22:35:00+00:00,1,36.56222222,-78.17944444
8,Virginia,183,0,8,12,10,Daylight,Clear,1,0,2015-10-12 08:40:00+00:00,1,36.95916667,-77.39277778
9,Virginia,149,0,6,6,12,Dark – Not Lighted,Clear,1,0,2015-12-06 06:00:00+00:00,1,37.24395833,-77.29846111
10,Virginia,41,0,12,9,2,Daylight,Clear,1,0,2015-02-09 12:40:00+00:00,1,37.28975556,-77.38946389
11,Virginia,740,1970,14,7,9,Daylight,Clear,2,0,2015-09-07 14:53:00+00:00,1,36.79897778,-76.37997778
12,Iowa,99,0,12,17,11,Daylight,Cloudy,2,0,2015-11-17 12:26:00+00:00,1,41.68193333,-92.98368056
13,Florida,11,2916,9,4,3,Daylight,Clear,2,0,2015-03-04 09:40:00+00:00,1,26.12294167,-80.35647778
14,Texas,89,0,7,27,1,Daylight,Clear,1,0,2015-01-27 07:54:00+00:00,1,29.69316389,-96.572725
15,Michigan,75,4448,11,21,2,Daylight,Clear,1,0,2015-02-21 11:18:00+00:00,1,42.26905833,-84.5804
